cat /proc/partitions for rzansel, node rzmanta23
partition block allocation information
Thu Oct 25 14:16:18 PDT 2018

major minor  #blocks  name

  11        0    1048575 sr0
  11        1    1048575 sr1
  11        2    1048575 sr2
  11        3    1048575 sr3
   8      144  976762584 sdj
   8      160  976762584 sdk
   8      161       8192 sdk1
   8      162     524288 sdk2
   8      163    4194304 sdk3
   8      164          1 sdk4
   8      165  972033024 sdk5
 253        0  972029952 dm-0
