cat /proc/mounts for rzansel, node rzslic8
all mounts in use
Wed Dec  5 08:51:44 PST 2018

rootfs / rootfs rw 0 0
sysfs /sys sysfs rw,nosuid,nodev,noexec,relatime 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime 0 0
devtmpfs /dev devtmpfs rw,nosuid,size=131806612k,nr_inodes=32951653,mode=755 0 0
securityfs /sys/kernel/security securityfs rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /dev/shm tmpfs rw,nosuid,nodev 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=000 0 0
tmpfs /run tmpfs rw,nosuid,nodev,mode=755 0 0
tmpfs /sys/fs/cgroup tmpfs ro,nosuid,nodev,noexec,mode=755 0 0
cgroup /sys/fs/cgroup/systemd cgroup rw,nosuid,nodev,noexec,relatime,xattr,release_agent=/usr/lib/systemd/systemd-cgroups-agent,name=systemd 0 0
pstore /sys/fs/pstore pstore rw,nosuid,nodev,noexec,relatime 0 0
cgroup /sys/fs/cgroup/hugetlb cgroup rw,nosuid,nodev,noexec,relatime,hugetlb 0 0
cgroup /sys/fs/cgroup/freezer cgroup rw,nosuid,nodev,noexec,relatime,freezer 0 0
cgroup /sys/fs/cgroup/net_cls,net_prio cgroup rw,nosuid,nodev,noexec,relatime,net_prio,net_cls 0 0
cgroup /sys/fs/cgroup/blkio cgroup rw,nosuid,nodev,noexec,relatime,blkio 0 0
cgroup /sys/fs/cgroup/cpuset cgroup rw,nosuid,nodev,noexec,relatime,cpuset 0 0
cgroup /sys/fs/cgroup/pids cgroup rw,nosuid,nodev,noexec,relatime,pids 0 0
cgroup /sys/fs/cgroup/memory cgroup rw,nosuid,nodev,noexec,relatime,memory 0 0
cgroup /sys/fs/cgroup/cpu,cpuacct cgroup rw,nosuid,nodev,noexec,relatime,cpuacct,cpu 0 0
cgroup /sys/fs/cgroup/perf_event cgroup rw,nosuid,nodev,noexec,relatime,perf_event 0 0
cgroup /sys/fs/cgroup/devices cgroup rw,nosuid,nodev,noexec,relatime,devices 0 0
configfs /sys/kernel/config configfs rw,relatime 0 0
/dev/sda /sysroot ext4 ro,relatime 0 0
tmpfs /overlay tmpfs rw,relatime,size=237334796k,mode=755 0 0
overlay / overlay rw,relatime,lowerdir=/sysroot,upperdir=/overlay/rw,workdir=/overlay/work 0 0
tmpfs /overlay tmpfs rw,relatime,size=237334796k,mode=755 0 0
rpc_pipefs /var/lib/nfs/rpc_pipefs rpc_pipefs rw,relatime 0 0
systemd-1 /proc/sys/fs/binfmt_misc autofs rw,relatime,fd=27,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=172311 0 0
mqueue /dev/mqueue mqueue rw,relatime 0 0
debugfs /sys/kernel/debug debugfs rw,relatime 0 0
hugetlbfs /dev/hugepages hugetlbfs rw,relatime 0 0
binfmt_misc /proc/sys/fs/binfmt_misc binfmt_misc rw,relatime 0 0
overlay /var/spool/cron overlay rw,relatime,lowerdir=/sysroot,upperdir=/overlay/rw,workdir=/overlay/work 0 0
overlay /var/lib/mlocate overlay rw,relatime,lowerdir=/sysroot,upperdir=/overlay/rw,workdir=/overlay/work 0 0
overlay /var/slurm overlay rw,relatime,lowerdir=/sysroot,upperdir=/overlay/rw,workdir=/overlay/work 0 0
cfhost:/opt /opt nfs ro,nosuid,relatime,vers=3,rsize=1048576,wsize=1048576,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=192.168.80.1,mountvers=3,mountport=20048,mountproto=tcp,local_lock=none,addr=192.168.80.1 0 0
cfhost:/tftpboot/dumps /tftpboot/dumps nfs rw,relatime,vers=3,rsize=1048576,wsize=1048576,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=192.168.80.1,mountvers=3,mountport=20048,mountproto=udp,local_lock=none,addr=192.168.80.1 0 0
cfhost:/var/cfengine/inputs /var/cfengine/inputs nfs ro,nosuid,relatime,vers=3,rsize=1048576,wsize=1048576,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=192.168.80.1,mountvers=3,mountport=20048,mountproto=tcp,local_lock=none,addr=192.168.80.1 0 0
izrz-nfs1-nfs.llnl.gov:/collab_gapps /collab/usr/gapps nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.11,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.11 0 0
izrz-nfs1-nfs.llnl.gov:/collab_gdata /collab/usr/gdata nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.11,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.11 0 0
izrz-nfs1-nfs.llnl.gov:/collab_global /collab/usr/global nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.11,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.11 0 0
rz-nfs2-nfs.llnl.gov:/rz_give /usr/give nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
rz-nfs2-nfs.llnl.gov:/rz_global /usr/global nfs rw,nosuid,relatime,vers=3,rsize=65536,wsize=65536,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.4,mountvers=3,mountport=635,mountproto=tcp,local_lock=none,addr=134.9.13.4 0 0
pepe2-nfs.llnl.gov:/rz_wsc /usr/oldwsrzc nfs ro,nosuid,relatime,vers=3,rsize=32768,wsize=32768,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.2,mountvers=3,mountport=4048,mountproto=tcp,local_lock=none,addr=134.9.13.2 0 0
pepe1-nfs.llnl.gov:/rz_wsd /usr/oldwsrzd nfs ro,nosuid,relatime,vers=3,rsize=32768,wsize=32768,namlen=255,hard,proto=tcp,timeo=600,retrans=2,sec=sys,mountaddr=134.9.13.1,mountvers=3,mountport=4048,mountproto=tcp,local_lock=none,addr=134.9.13.1 0 0
